ID,description,longitude,latitude,imgp,imgc,imgo,imgf,imgg,icon
WSQ24,理科教学楼（黄廷方楼）一楼圆凳,116.312943,39.991456,figure/taxa/WSQ24_L2_phylum.png,figure/taxa/WSQ24_L3_class.png,figure/taxa/WSQ24_L4_order.png,figure/taxa/WSQ24_L4_order.png,figure/taxa/WSQ24_L5_family.png,figure/taxa/WSQ24_L6_genus.png
WSQ25,第二教学楼自助售货机把手,116.313147,39.989452,figure/taxa/WSQ25_L2_phylum.png,figure/taxa/WSQ25_L3_class.png,figure/taxa/WSQ25_L4_order.png,figure/taxa/WSQ25_L4_order.png,figure/taxa/WSQ25_L5_family.png,figure/taxa/WSQ25_L6_genus.png
WSQ27,邱德拔体育馆西门柱子,116.315103,39.988655,figure/taxa/WSQ27_L2_phylum.png,figure/taxa/WSQ27_L3_class.png,figure/taxa/WSQ27_L4_order.png,figure/taxa/WSQ27_L4_order.png,figure/taxa/WSQ27_L5_family.png,figure/taxa/WSQ27_L6_genus.png
WSQ28,英杰交流中心玻璃门,116.313876,39.990738,figure/taxa/WSQ28_L2_phylum.png,figure/taxa/WSQ28_L3_class.png,figure/taxa/WSQ28_L4_order.png,figure/taxa/WSQ28_L4_order.png,figure/taxa/WSQ28_L5_family.png,figure/taxa/WSQ28_L6_genus.png
WSQ29,理科三号楼东门重点实验室牌子,116.314545,39.991664,figure/taxa/WSQ29_L2_phylum.png,figure/taxa/WSQ29_L3_class.png,figure/taxa/WSQ29_L4_order.png,figure/taxa/WSQ29_L4_order.png,figure/taxa/WSQ29_L5_family.png,figure/taxa/WSQ29_L6_genus.png
WSQ30,金光生命科学大楼南门柱子,116.314486,39.992452,figure/taxa/WSQ30_L2_phylum.png,figure/taxa/WSQ30_L3_class.png,figure/taxa/WSQ30_L4_order.png,figure/taxa/WSQ30_L4_order.png,figure/taxa/WSQ30_L5_family.png,figure/taxa/WSQ30_L6_genus.png
WSQ31,环境科学与工程学院室外圆桌,116.314722,39.994581,figure/taxa/WSQ31_L2_phylum.png,figure/taxa/WSQ31_L3_class.png,figure/taxa/WSQ31_L4_order.png,figure/taxa/WSQ31_L4_order.png,figure/taxa/WSQ31_L5_family.png,figure/taxa/WSQ31_L6_genus.png
WSQ32,法学院I love law 立牌,116.313506,39.994473,figure/taxa/WSQ32_L2_phylum.png,figure/taxa/WSQ32_L3_class.png,figure/taxa/WSQ32_L4_order.png,figure/taxa/WSQ32_L4_order.png,figure/taxa/WSQ32_L5_family.png,figure/taxa/WSQ32_L6_genus.png
WSQ33,樱树林飞人雕像立柱,116.313115,39.994867,figure/taxa/WSQ33_L2_phylum.png,figure/taxa/WSQ33_L3_class.png,figure/taxa/WSQ33_L4_order.png,figure/taxa/WSQ33_L4_order.png,figure/taxa/WSQ33_L5_family.png,figure/taxa/WSQ33_L6_genus.png
WSQ34,东操场小足球门,116.313214,39.987912,figure/taxa/WSQ34_L2_phylum.png,figure/taxa/WSQ34_L3_class.png,figure/taxa/WSQ34_L4_order.png,figure/taxa/WSQ34_L4_order.png,figure/taxa/WSQ34_L5_family.png,figure/taxa/WSQ34_L6_genus.png
